2026-05-17 22:50:01	,京东平台商户,维艾（Newair）保鲜盒316不锈钢食品级饭盒冰箱盒子密封碗家用水果盒便当盒,29.36,中信银行储蓄卡(9573),交易成功,支出,日用百货,3501458015574604	,1314042605172250000574093933	, ,
2026-05-14 21:08:09	,京东平台商户,十月稻田 黄小米2斤 五谷杂粮 低脂粗粮 早餐 煮粥饭 小米杂粮 小米黄小米,9.49,中信银行储蓄卡(9573),交易成功,支出,其他网购,3498458002411834	,1314002605142108080202105214	, ,
2026-05-14 18:24:12	,京东平台商户,心相印抽纸 面巾纸茶语丝享 3层120抽*27包真S码 纸巾 卫生纸 整箱 等多件,76.75,中信银行储蓄卡(9573),交易成功,支出,其他网购 清洁纸品,3498258014509425	,1313632605141824120289865282	, ,
2026-05-11 11:08:17	,京东外卖,【爆品】海底捞四川蒜蓉风味奥尔良鸡肉拌饭 1人份,17.90,中信银行储蓄卡(9573),交易成功,支出,食品酒饮,3495458001062855	,1314222605111108160003152348	, ,
2026-05-07 08:22:56	,京东平台商户,海天 蚝油 薄盐 0添加防腐剂 615g 挤挤装 点蘸 调味品,11.50,中信银行储蓄卡(9573),交易成功,支出,其他网购,3491458009575713	,1313772605070822550811205995	, ,
2026-05-05 22:44:26	,京东平台商户,五常大米官方溯源 乔府大院 特等 原粮稻花香2号 绿色 10斤 当季新米,12.10,中信银行储蓄卡(9573),交易成功,支出,其他网购,3489458011773868	,1313502605052244260146314590	, ,
2026-05-02 13:07:26	,京东平台商户,图拉斯【超强磁吸丨轻奢磨砂】D1S支点壳适用iphone17promax手机壳苹果17pro保护套17全包超薄防摔带支架 【曜石黑磁吸款】 iPhone 17 Pro,77.20,微信支付,交易成功,支出,手机通讯,3486458007985968	,4063482605021307210034428597	, ,
2026-05-02 00:20:10	,京东平台商户,佳洁士3D炫白牙膏含氟牙膏去黄清新口气家庭家用囤货 小苏打+双效+茉莉共460g,21.51,中信银行储蓄卡(9573),交易成功,支出,美妆个护,3486458007852188	,1313482605020020100241937717	, ,
2026-04-25 12:37:41	,京东平台商户,晶华USB2.0转Mini T口A-5P型USB数据连接线相机行车记录仪手机充电移动硬盘数据连接MP3灰色1.2米U117D,4.90,中信银行储蓄卡(9573),交易成功,支出,电脑办公,3479458018703033	,1313522604251237410438923207	, ,
2026-04-22 08:54:41	,宿迁京孚泰大数据信息技术有限公司,宿迁京孚泰大数据信息技术有限公司,334.78,余额,交易成功,收入,其他,JRPPF_5235683083104256	,JRPPF_5235683083104256	, ,
2026-04-22 08:54:27	,网银在线（北京）科技有限公司,联盟POP佣金结算,364.98,余额,交易成功,收入,其他,PAY_202604220854275565518	,PAY_202604220854275565518	, ,
2026-04-16 18:43:39	,京东平台商户,柴火大院  胚芽米2.5kg 东北大米 含胚芽粳米 留胚米粗粮,19.99,余额,交易成功,支出,其他网购,3470258016174031	,1863992604161843390522164951	, ,
2026-04-15 09:16:05	,京东平台商户,Swisse斯维诗 迷你钙维生素D 柠檬酸钙 蓝帽 成人孕妇中老年 200粒*2瓶,153.00,余额,交易成功,支出,医疗保健,3469258002066467	,1864172604150916050893087034	, ,
2026-04-13 23:43:16	,京东平台商户,全球购-Swisse斯维诗高浓度深海无腥鱼油1500mg胶囊含omega-3 400粒/瓶熬夜胸闷,182.80,余额,交易成功,支出,医疗保健,3467258001686229	,18533352604132343160617807069	, ,
2026-03-30 17:23:43	,有奖发票专户_武汉_wuhan,有奖发票奖金,20.00,余额,交易成功,收入,其他,202603301723420485784	,0mnczdoksE0075fo81805HVTe	, ,
2026-03-30 08:15:43	,京东平台商户,海天无麸质特级生抽500mL,27.80,中信银行储蓄卡(9573),交易成功,支出,其他网购,3453258011269086	,1313702603300815420434098481	, ,
2026-03-24 08:44:30	,京东平台商户,沃隆  扁桃仁950g 量贩大罐装 巴旦木仁坚果炒货营养健康零食干果仁 【饱满大颗粒】950g扁桃仁 等多件,89.00,余额,交易成功,支出,其他网购,3447258019602365	,1863252603240844300527890572	, ,
2026-03-23 21:14:41	,宿迁京孚泰大数据信息技术有限公司,宿迁京孚泰大数据信息技术有限公司,417.10,余额,交易成功,收入,其他,JRPPF_5193943199625216	,JRPPF_5193943199625216	, ,
2026-03-23 21:14:16	,网银在线（北京）科技有限公司,联盟POP佣金结算,266.56,余额,交易成功,收入,其他,PAY_202603232114159885364	,PAY_202603232114159885364	, ,
2026-03-08 11:42:40	,京东平台商户,退款-蔡司镜片 眼镜近视 纯钛镜框 可配度数 黑色 视特耐1.56高清,209.60,中信银行储蓄卡(9573),退款成功,不计收支,网购,3425258013630612	,2603081119311537998	, ,
2026-03-04 23:32:51	,京东商城,京东商城补偿,54.90,余额,交易成功,收入,其他,202603042332500059914	,jdos_workerpayout-435266922-1146	, ,
2026-03-02 22:53:32	,京东平台商户,盒马开心果 1.13kg 带皮坚果炒货休闲零食下午茶 1.13kg/袋 等多件,153.90,中信银行储蓄卡(9573),交易成功,支出,食品酒饮 其他网购,3425258008009045	,1313482603022253310221160560	, ,
2026-03-02 18:23:10	,京东平台商户,蔡司镜片 眼镜近视 纯钛镜框 可配度数 黑色 视特耐1.56高清,209.60(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,钟表眼镜,3425258013630612	,1313992603021823090668333395	, ,
2026-03-02 18:05:04	,京东平台商户,LOHO超轻纯钛眼镜防蓝光近视商务休闲全框钛架斯文方框平光镜片,198.00,中信银行储蓄卡(9573),交易成功,支出,钟表眼镜,3425458013625858	,1313442603021805040040261930	, ,
2026-02-28 16:58:11	,宿迁京孚泰大数据信息技术有限公司,宿迁京孚泰大数据信息技术有限公司,556.70,余额,交易成功,收入,其他,JRPPF_5161132779203584	,JRPPF_5161132779203584	, ,
2026-02-28 16:57:52	,网银在线（北京）科技有限公司,联盟POP佣金结算,442.87,余额,交易成功,收入,其他,PAY_202602281657519850735	,PAY_202602281657519850735	, ,
2026-02-26 07:30:40	,京东平台商户,京东京造 活性炭双重除臭膨润土混合猫砂2.6kg*4袋 2mm快速结团可冲厕所 等多件,35.82,中信银行储蓄卡(9573),交易成功,支出,其他网购 医疗保健 清洁纸品,3421258006389545	,1311032602260730390197808267	, ,
2026-02-19 12:57:59	,京东外卖,超满足汁汁嫩牛堡4件套 默认,28.90,中信银行储蓄卡(9573),交易成功,支出,食品酒饮,3414458010788611	,1313842602191257580269270390	, ,
2026-02-11 22:30:32	,京东平台商户,百草味坚果大礼包3斤罐装 东北松子开心果健康休闲零食送礼团购 【组合6】夏果+巴旦木+开心果,124.00,中信银行储蓄卡(9573),交易成功,支出,其他网购,3406458019242175	,1313502602112230320142986731	, ,
2026-02-11 22:24:12	,京东平台商户,蒙牛特仑苏纯牛奶有机梦幻盖 250mL×24盒  箱装,86.61,微信支付,交易成功,支出,其他网购,3406258019236550	,6183722602112224080358597957	, ,
2026-02-11 22:12:50	,京东平台商户,京东超市卡1000.00元(京东超市指定自营品可用),1000.00,中信银行储蓄卡(9573),交易成功,支出,其他网购,345990794403	,1323542602112212500105312162	, ,
2026-02-09 21:26:41	,京东金融,价保退款-三金桂林西瓜霜 3g/盒口腔溃疡、咽喉肿痛、口舌生疮、牙龈肿痛或出血、清热解毒、消肿止痛 等多件,0.61,余额,交易成功,不计收支,其他,3402258017945155	,87862715297	, ,
2026-02-07 22:27:07	,京东平台商户,三金桂林西瓜霜 3g/盒口腔溃疡、咽喉肿痛、口舌生疮、牙龈肿痛或出血、清热解毒、消肿止痛 等多件,14.19(已退款0.61),中信银行储蓄卡(9573),交易成功,支出,医疗保健,3402258017945155	,1313352602072227070489651018	, ,
2026-02-07 19:07:30	,京东外卖,腊汁肉夹馍（普通） 等多件,15.70,中信银行储蓄卡(9573),交易成功,支出,食品酒饮,3402258001214063	,1313252602071907290866292266	, ,
2026-02-05 20:08:04	,京东平台商户,红狗（RedDog）猫草片化毛片猫咪化毛膏乳铁蛋白猫咪软骨素狗狗鱼油益生菌卵磷脂 猫草片100g*2瓶(400片) 等多件,42.50,中信银行储蓄卡(9573),交易成功,支出,宠物生活,3400258017234270	,1314022602052008040199846993	, ,
2026-01-28 10:05:08	,京东平台商户,威露士衣物消毒液衣服消毒水除菌剂 薰衣草青柠1.2L*2瓶,41.81,中信银行储蓄卡(9573),交易成功,支出,清洁纸品,3392458014482721	,1313792601281005070719504846	, ,
2026-01-26 14:27:23	,京东余额,京东余额提现,1017.59,中信银行储蓄卡(9573),交易成功,不计收支,余额,1769408841908	,202601261427168905982	, ,
2026-01-26 12:31:41	,宿迁京孚泰大数据信息技术有限公司,宿迁京孚泰大数据信息技术有限公司,480.31,余额,交易成功,收入,其他,JRPPF_5114156728759297	,JRPPF_5114156728759297	, ,
2026-01-26 12:31:22	,网银在线（北京）科技有限公司,联盟POP佣金结算,536.66,余额,交易成功,收入,其他,PAY_202601261231226646216	,PAY_202601261231226646216	, ,
2026-01-24 10:42:47	,京东平台商户,智国者车载磁吸手机支架真空吸盘式汽车专用2025新款2026导航通用特斯拉,27.91,中信银行储蓄卡(9573),交易成功,支出,汽车用品,3388258013222684	,1313122601241042470873335781	, ,
2026-01-19 08:59:39	,京东金融,价保退款（用户体验金）-尼拉午睡枕办公室午休神器座位工位趴桌子专用睡觉神器枕头午觉趴睡枕,0.49,余额,交易成功,不计收支,其他,3378258002313424	,84397567567	, ,
2026-01-14 20:08:12	,京东平台商户,京鲜生 赣南脐橙 净重10斤 铂金果 单果180g起 生鲜水果橙子年货礼盒,54.90,中信银行储蓄卡(9573),交易成功,支出,食品酒饮,3378258002388129	,1311062601142008120433072150	, ,
2026-01-14 16:30:31	,京东平台商户,尼拉午睡枕办公室午休神器座位工位趴桌子专用睡觉神器枕头午觉趴睡枕,59.80(已退款0.49),中信银行储蓄卡(9573),交易成功,支出,其他网购,3378258002313424	,1313442601141630310494285739	, ,
2026-01-12 07:53:25	,京东平台商户,丽芙吡美莫司乳膏1%*10g/盒 吡美莫司乳膏京东自营皮炎湿疹用药,74.66,中信银行储蓄卡(9573),交易成功,支出,医疗保健,3376258001455912	,1313352601120753250328249194	, ,
2026-01-11 22:48:31	,京东平台商户,绿联适用苹果17/16/15充电线Type-C数据线双头PD60W快充ctoc车载iPhone17/16e/15ProMax平板iPad笔记本,15.67,中信银行储蓄卡(9573),交易成功,支出,手机通讯,3375458001408862	,1313312601112248310841752021	, ,
2026-01-09 20:44:24	,京东平台商户,京东京造特级去核灰枣600g(8袋)独立小袋新疆免洗无核红枣蜜饯果干即食,24.76,中信银行储蓄卡(9573),交易成功,支出,其他网购,3373458018971118	,1313552601092044240365857323	, ,
2026-01-08 20:38:55	,京东金融,价保退款-十月稻田 黄冰糖1kg 2斤 多晶蔗糖老冰糖 炒糖色 糖水泡茶甜汤厨房调味,0.13,余额,交易成功,不计收支,其他,3367258008585924	,84901742458	, ,
2026-01-08 17:26:13	,京东平台商户,退款-返航新生 iPhone 17 Pro 再生材质 Magsafe 磁吸保护壳 手机壳 大地橙,48.99,中信银行储蓄卡(9573),退款成功,不计收支,网购,345614595882	,2601081718955542653	, ,
2026-01-06 08:21:01	,京东平台商户,返航新生 iPhone 17 Pro 再生材质 Magsafe 磁吸保护壳 手机壳 大地橙,48.99(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,手机通讯,345614595882	,1313852601060821010146827751	, ,
2026-01-05 22:24:44	,京东平台商户,图拉斯【超强磁吸丨轻奢磨砂】D1S支点壳适用iphone17promax手机壳苹果17pro保护套17全包超薄防摔带支架 【星宇橙磁吸款】 iPhone 17 Pro,83.59,中信银行储蓄卡(9573),交易成功,支出,手机通讯,3369258009328208	,1313442601052224430677333616	, ,
2026-01-03 20:03:47	,京东余额,京东余额提现,1014.49,中信银行储蓄卡(9573),交易成功,不计收支,余额,1767441825937	,202601032003430903997	, ,
2026-01-03 19:33:19	,京东平台商户,十月稻田 黄冰糖1kg 2斤 多晶蔗糖老冰糖 炒糖色 糖水泡茶甜汤厨房调味,18.88(已退款0.13),中信银行储蓄卡(9573),交易成功,支出,其他网购,3367258008585924	,1313542601031933180597998068	, ,
2026-01-03 18:14:31	,京东平台商户,百里挑一新货珍珠茶南瓜子罐装茶味熟白瓜籽仁茶香味南瓜籽坚果炒货零食品,49.79,中信银行储蓄卡(9573),交易成功,支出,其他网购,3367258008569146	,1313512601031814300647134356	, ,
2026-01-01 14:33:25	,京东外卖,双椒鸡捞面 1盒（1盒） 等多件,60.79,中信银行储蓄卡(9573),交易成功,支出,食品酒饮 其他网购,3365258007803219	,1313622601011433250504065179	, ,
