2026060323001110681404780757	,13120600726060390799891265562	,2026-06-03 12:56:26 ,2026-06-03 12:56:31 ,2026-06-03 13:28:25 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,史玉林凉皮(叁伍壹壹店)外卖订单    ,18.99   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026060223001110681404404135	,13190600726060265647112265562	,2026-06-02 19:45:51 ,2026-06-02 19:45:57 ,2026-06-02 19:57:03 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,吉祥馄饨·饺子(中卫万达店)外卖订单  ,19.05   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026060122001410681459859104	,015827331000001065614598	,2026-06-01 23:03:31 ,2026-06-01 23:03:32 ,2026-06-01 23:03:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德酒店            ,高德地图酒店订单            ,210.80  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026053122001410681448827035	,48126600004836000083620260531302198737	,2026-05-31 20:55:50 ,2026-05-31 20:55:50 ,2026-05-31 20:55:50 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,东风新天地生活超市       ,东风新天地生活超市(十号新天地)    ,15.70   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026052622001410681405794505	,862017062807588359A2026052602003493	,2026-05-26 13:46:59 ,2026-05-26 13:47:05 ,2026-05-26 13:47:05 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,马以吉来丝           ,马以吉来丝-订单信息          ,46.93   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026052623001410681459382481	,10126600000100820095516000229442976206890559071003	,2026-05-26 08:42:50 ,2026-05-26 08:42:51 ,2026-05-26 08:42:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,张掖市甘州区星澜轩烟酒店    ,1000                ,9.93    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026052523001410681459408616	,4520180330024764010461368606596395524905835	,2026-05-25 19:54:54 ,2026-05-25 19:54:55 ,2026-05-25 19:54:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,伊隆亚纯汤牛肉面        ,美团收银909700212951769277,28.92   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026052523001410681455429639	,5220180330024764010461368606595539994804355	,2026-05-25 12:41:53 ,2026-05-25 12:41:55 ,2026-05-25 12:41:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,胖丁丁早餐           ,美团收银909700212937907556,30.99   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026052422001410681447255596	,56126600004836000083620260524952473736	,2026-05-24 14:26:35 ,2026-05-24 14:26:36 ,2026-05-24 14:26:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,甘肃华运高速公路        ,平凉自营餐厅北区            ,24.98   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260523200040011100680002260985	,                    	,2026-05-23 10:24:11 ,2026-05-23 10:24:16 ,2026-05-23 10:24:16 ,支付宝网站     ,即时到账交易          ,Peanut(张欢)      ,2026 年 5 月生活费       ,1000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,2026 年 5 月生活费       ,已支出      ,
20260521106822381695 	,974653007           	,2026-05-21 08:47:22 ,2026-05-21 08:47:22 ,2026-05-21 08:47:44 ,支付宝网站     ,即时到账交易          ,西安高新医院          ,医保支付(不含自费)          ,0.00    ,支出      ,支付成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051822001410681406986168	,17791040715802999110685	,2026-05-18 19:34:31 ,2026-05-18 19:34:38 ,2026-05-18 19:34:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小吃屋             ,经营码交易               ,4.92    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026051823001110681404106958	,13180600726051853237322265562	,2026-05-18 18:06:21 ,2026-05-18 18:06:35 ,2026-05-18 18:30:46 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,永辉线上超市(大茂城店)        ,45.89   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026051723001410681459739868	,2001052605170103909536948015	,2026-05-17 21:06:30 ,2026-05-17 21:06:31 ,2026-06-13 16:36:12 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,抖音电商-订单编号6952923974830659392,19.90   ,支出      ,交易关闭    ,0.00     ,19.90    ,                    ,已支出      ,
2026051723001110681459459975*13150601326051717742610265562	,13150601326051717742610265562	,2026-05-17 15:10:54 ,2026-05-17 15:10:54 ,2026-05-17 15:10:54 ,淘宝        ,即时到账交易          ,淘宝闪购            ,退款-盒马鲜生(大茂城店)       ,0.30    ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026051723001110681459459975	,13130600726051754924094265562	,2026-05-17 13:36:20 ,2026-05-17 13:36:26 ,2026-05-17 15:10:47 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,108.38  ,不计收支    ,交易成功    ,0.00     ,0.30     ,                    ,         ,
2026051722001410681454879980	,2001052605170103906835518015	,2026-05-17 12:24:28 ,2026-05-17 12:24:29 ,2026-05-17 12:24:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,抖音电商-订单编号6952909823505143616,377.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051623001410681450650685	,2026051600003100006874790044	,2026-05-16 14:57:18 ,2026-05-16 14:57:24 ,2026-05-16 14:57:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国移动            ,为13871709570话费充值    ,50.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051423001110681428007364	,T200P3302004540539057367	,2026-05-14 09:52:16 ,2026-05-14 09:52:23 ,2026-05-21 19:09:01 ,淘宝        ,支付宝担保交易         ,墨墨**1           ,tang's store 双面丝光棉 基础款短袖T恤,86.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051023001110681409174550	,T200P3300787815387011358	,2026-05-10 22:39:59 ,2026-05-10 22:40:04 ,2026-05-21 09:32:11 ,淘宝        ,支付宝担保交易         ,七月**店           ,【优惠价】亚麻女士洋气简约显脸小透气春夏鸭舌帽棒球帽遮阳防晒逛街黑白色,64.74   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051022001410681459579014	,31P2088721085226061W03_20260510123308079268	,2026-05-10 12:33:08 ,2026-05-10 12:33:09 ,2026-05-10 12:33:09 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中旅（宁夏）沙坡头旅游景区有限公司,二维码支付               ,19.92   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026051023001410681458821259	,10P2088721085226061W03_20260510123216516902	,2026-05-10 12:32:16 ,2026-05-10 12:32:17 ,2026-05-10 12:32:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中旅（宁夏）沙坡头旅游景区有限公司,二维码支付               ,39.92   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260505102553010710680085936308	,20260505470134520842	,2026-05-05 17:38:03 ,2026-05-05 17:38:04 ,2026-05-05 17:38:04 ,支付宝网站     ,即时到账交易          ,网商银行            ,支付宝转入到余利宝           ,10000.00,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20260503102553010721420067163050	,20260503470133842846	,2026-05-03 18:19:35 ,2026-05-03 18:19:35 ,2026-05-03 18:19:35 ,支付宝网站     ,即时到账交易          ,浙江网商银行股份有限公司    ,余利宝转出到支付宝-基金赎回      ,10000.00,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2026042923001110681451627613	,T200P3298984321442093377	,2026-04-29 00:08:32 ,2026-04-29 00:08:38 ,2026-05-07 11:21:49 ,淘宝        ,支付宝担保交易         ,ag**制           ,【小个子版】复古弯刀牛仔裤女2026高腰显瘦小个子弯刀裤牛仔九分 等多件,493.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026042923001110681452524799_3298983313699084195	,T200P3298983313699048185	,2026-04-29 00:07:00 ,                    ,2026-04-29 00:07:00 ,淘宝        ,支付宝担保交易         ,ag**制           ,退款-巨显瘦/小个子直筒喇叭裤女2026春款高腰显瘦弹力宽脚牛仔裤九分 等多件,234.94  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026042923001110681452524799_3298983313699057367	,T200P3298983313699048185	,2026-04-29 00:06:49 ,                    ,2026-04-29 00:06:49 ,淘宝        ,支付宝担保交易         ,ag**制           ,退款-巨显瘦/小个子直筒喇叭裤女2026春款高腰显瘦弹力宽脚牛仔裤九分 等多件,258.06  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026042923001110681452524799	,T200P3298983313699048185	,2026-04-29 00:05:28 ,2026-04-29 00:05:37 ,2026-04-29 00:07:00 ,淘宝        ,支付宝担保交易         ,ag**制           ,巨显瘦/小个子直筒喇叭裤女2026春款高腰显瘦弹力宽脚牛仔裤九分 等多件,493.00  ,支出      ,交易关闭    ,0.00     ,493.00   ,                    ,已支出      ,
2026042823001110681452047494_3298433703765048185	,T200P3298433703765048185	,2026-04-28 16:09:26 ,                    ,2026-04-28 16:09:26 ,淘宝        ,支付宝担保交易         ,气质**9           ,退款-帽子女春秋日系百搭黑色护耳包头帽ins潮针织网红堆堆帽头巾帽男,32.30   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026042823001110681452047494	,T200P3298433703765048185	,2026-04-28 16:07:53 ,2026-04-28 16:07:59 ,2026-04-28 16:09:26 ,淘宝        ,支付宝担保交易         ,气质**9           ,帽子女春秋日系百搭黑色护耳包头帽ins潮针织网红堆堆帽头巾帽男,32.30   ,支出      ,交易关闭    ,0.00     ,32.30    ,                    ,已支出      ,
2026042823001110681452342439	,T200P3298433703765002176	,2026-04-28 16:07:53 ,2026-04-28 16:07:59 ,2026-05-07 11:21:49 ,淘宝        ,支付宝担保交易         ,七月**店           ,【优惠价】春夏薄款透气亚麻草编堆堆帽日系文艺包头帽蓝色女士韩版优雅显瘦,69.80   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026042823001110681453043091	,T200P3298433703765011358	,2026-04-28 16:07:53 ,2026-04-28 16:07:59 ,2026-05-07 11:21:49 ,淘宝        ,支付宝担保交易         ,亿点**y           ,100%澳洲羊毛针织帽子女秋冬季加厚保暖防寒护耳冷帽大头围显脸小,79.10   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026042722001410681446562118	,17772894792802999110685	,2026-04-27 19:31:19 ,2026-04-27 19:31:25 ,2026-04-27 19:31:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小吃屋             ,经营码交易               ,4.90    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026042623001110681438852243*13130601326042641612988265562	,13130601326042641612988265562	,2026-04-26 13:11:36 ,2026-04-26 13:11:36 ,2026-04-26 13:11:36 ,淘宝        ,即时到账交易          ,淘宝闪购            ,退款-盒马鲜生(大茂城店)       ,0.10    ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026042623001110681438852243	,13120600726042650768581265562	,2026-04-26 12:17:47 ,2026-04-26 12:17:53 ,2026-04-26 13:11:29 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,86.33   ,不计收支    ,交易成功    ,0.00     ,0.10     ,                    ,         ,
2026041923001110681410821146	,T200P2701853940123002176	,2026-04-19 12:40:28 ,2026-04-19 12:40:39 ,2026-04-29 14:11:39 ,淘宝        ,支付宝担保交易         ,fr**2           ,老钱风白色橡木色棉麻工装夹克外套长裤套装 等多件,759.82  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260416200040011100680086912690	,                    	,2026-04-16 21:03:48 ,2026-04-16 21:03:56 ,2026-04-16 21:03:56 ,支付宝网站     ,即时到账交易          ,Peanut(张欢)      ,2026 年 4 月生活费       ,1000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,2026 年 4 月生活费       ,已支出      ,
2026041423001110681447933561	,T200P2701835618035011358	,2026-04-14 11:26:33 ,2026-04-14 11:57:32 ,2026-04-25 16:32:38 ,淘宝        ,支付宝担保交易         ,cc**宝           ,轻薄粉底液 重磅隐形无痕 舒服细肩带内衣背心式文胸防走光,75.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026041323001110681448002588	,T200P2701839831031011358	,2026-04-13 23:24:35 ,                    ,2026-04-14 11:26:15 ,淘宝        ,支付宝担保交易         ,cc**宝           ,轻薄粉底液 重磅隐形无痕 舒服细肩带内衣背心式文胸防走光,84.99   ,不计收支    ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
2026041222001410681444611016	,17202604122116350000047567283810	,2026-04-12 21:16:41 ,2026-04-12 21:16:41 ,2026-04-12 21:16:41 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P791551795432046811,5.88    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026041123001410681436209263	,17202604111530490000028653673810	,2026-04-11 15:30:55 ,2026-04-11 15:30:56 ,2026-04-11 15:30:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P791444649535046091,6.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026041123001410681437943708	,17202604111528210000028517043810	,2026-04-11 15:28:27 ,2026-04-11 15:28:28 ,2026-04-11 15:28:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P791444500776046211,10.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026041023001110681436781988	,T200P2701834681036102559	,2026-04-10 20:56:32 ,2026-04-10 20:58:07 ,2026-04-21 17:30:14 ,淘宝        ,支付宝担保交易         ,cc**宝           ,轻薄粉底液 重磅隐形无痕 舒服细肩带内衣背心式文胸防走光,74.80   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026040823001110681424343804	,13180600726040860850174265562	,2026-04-08 18:08:41 ,2026-04-08 18:08:47 ,2026-04-08 18:44:06 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,塔斯汀·中国汉堡(旧宫天慧广场店)外卖订单,27.70   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026040422001410681408460480	,17753066754802999110685	,2026-04-04 20:44:35 ,2026-04-04 20:44:42 ,2026-04-04 20:44:42 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小吃屋             ,经营码交易               ,5.00    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026040422001410681408317315	,341266000049390000CF20023232967895088028201062	,2026-04-04 20:40:41 ,2026-04-04 20:40:42 ,2026-04-04 20:40:42 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,纯老面蒲城大包         ,纯老面小笼包              ,7.00    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026040423001410681407692534	,1312386207004120260404141337	,2026-04-04 14:13:37 ,2026-04-04 14:13:38 ,2026-04-04 14:13:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,优衣库             ,优衣库(西安DMC大茂城店)      ,78.32   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026032923001110681438873939	,13170600726032970466610265562	,2026-03-29 17:52:02 ,2026-03-29 17:54:31 ,2026-03-29 18:39:19 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,51.60   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026032222001410681408564255_18202603291713380000009051643810	,17202603222327050000056803103810	,2026-03-29 17:13:38 ,                    ,2026-03-29 17:13:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,退款-小红书订单：P789745225091046491,25.00   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026032222001410681408564255	,17202603222327050000056803103810	,2026-03-22 23:27:11 ,2026-03-22 23:27:12 ,2026-03-29 17:13:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P789745225091046491,137.70  ,支出      ,交易成功    ,0.00     ,25.00    ,                    ,已支出      ,
2026032022001410681458665253	,17202603201151050000015050583810	,2026-03-20 11:51:10 ,2026-03-20 11:51:11 ,2026-03-20 11:51:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P789530665139046571,19.80   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260319200040011100680073713494	,                    	,2026-03-19 14:46:31 ,2026-03-19 14:46:37 ,2026-03-19 14:46:37 ,支付宝网站     ,即时到账交易          ,Peanut(张欢)      ,2026 年 3 月生活费       ,1000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,2026 年 3 月生活费       ,已支出      ,
2026031622001410681442987381	,2026031600003100006870097022	,2026-03-16 16:48:55 ,2026-03-16 16:49:05 ,2026-03-16 16:49:09 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国移动            ,为13871709570话费充值    ,50.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026031522001410681438670497	,17202603152046140000046617903810	,2026-03-15 20:46:18 ,2026-03-15 20:46:19 ,2026-03-15 20:46:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P789130773718046711,42.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026031522001410681439421705	,17202603152045450000046584753810	,2026-03-15 20:45:52 ,2026-03-15 20:45:52 ,2026-03-15 20:45:52 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P789130745192046951,88.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026031522001110681435938253	,13090600726031570794894265562	,2026-03-15 09:18:00 ,2026-03-15 09:18:07 ,2026-03-15 10:07:21 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,53.78   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026031423001410681435370696	,17202603142148270000051623943810	,2026-03-14 21:48:49 ,2026-03-14 21:48:50 ,2026-03-14 21:48:50 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P789048107302046431,248.32  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026031423001410681437006434_INP26031415340919033857866672653	,2001052603140103491228724154	,2026-03-14 15:34:21 ,                    ,2026-03-14 15:34:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音生活服务商家        ,退款-三文鱼战斧牛排双人餐D+不限量水果小食饮料重庆长沙等125城,191.00  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026031422001410681436775658	,2001052603140103648262729221	,2026-03-14 14:40:13 ,2026-03-14 14:40:14 ,2026-03-14 14:40:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音生活服务商家        ,复购TOP甄选牛排双人餐D+不限量水果小食饮料,159.90  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026031423001410681437006434	,2001052603140103491228724154	,2026-03-14 14:24:32 ,2026-03-14 14:24:33 ,2026-03-14 15:34:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音生活服务商家        ,三文鱼战斧牛排双人餐D+不限量水果小食饮料重庆长沙等125城,191.00  ,不计收支    ,交易关闭    ,0.00     ,191.00   ,                    ,         ,
2026031023001110681418202295	,T200P3286500602735558564	,2026-03-10 08:24:17 ,2026-03-10 08:24:24 ,2026-03-20 12:11:14 ,淘宝        ,支付宝担保交易         ,淘特**店           ,支付宝会员手帕纸10包         ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026030822001110681409784458*13120601326030848642330265562	,13120601326030848642330265562	,2026-03-08 12:24:13 ,2026-03-08 12:24:13 ,2026-03-08 12:24:13 ,淘宝        ,即时到账交易          ,淘宝闪购            ,退款-盒马鲜生(大茂城店)       ,0.10    ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026030822001110681409784458	,13110600726030889763136265562	,2026-03-08 11:11:31 ,2026-03-08 11:11:37 ,2026-03-08 12:24:06 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,74.24   ,不计收支    ,交易成功    ,0.00     ,0.10     ,                    ,         ,
2026030122001110681442437293*13160601326030125376280265562	,13160601326030125376280265562	,2026-03-01 16:39:29 ,2026-03-01 16:39:29 ,2026-03-01 16:39:29 ,淘宝        ,即时到账交易          ,淘宝闪购            ,退款-盒马鲜生(大茂城店)       ,0.08    ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,         ,
2026030122001110681442437293	,13160600726030107107162265562	,2026-03-01 16:06:39 ,2026-03-01 16:07:14 ,2026-03-01 16:39:22 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,65.35   ,不计收支    ,交易成功    ,0.00     ,0.08     ,                    ,         ,
20260222106864195748 	,913599312           	,2026-02-22 14:14:36 ,2026-02-22 14:14:36 ,2026-02-22 14:15:15 ,支付宝网站     ,即时到账交易          ,西安高新医院          ,医保支付(不含自费)          ,0.00    ,支出      ,支付成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260217002161010000680824112239_PZ1540451963	,                    	,2026-02-17 16:53:31 ,                    ,2026-02-17 16:53:31 ,支付宝网站     ,即时到账交易          ,支付宝集福啦的红包       ,收到支付宝集福啦的红包         ,5.04    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026021522001410681448948291	,M20260215248921170  	,2026-02-15 16:35:11 ,2026-02-15 16:35:12 ,2026-02-15 16:35:12 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,铁路12306         ,火车票                 ,453.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20260215200040011100680061275143	,                    	,2026-02-15 12:10:12 ,2026-02-15 12:10:19 ,2026-02-15 12:10:19 ,支付宝网站     ,即时到账交易          ,Peanut(张欢)      ,2 月生活费              ,1000.00 ,支出      ,交易成功    ,0.00     ,0.00     ,2 月生活费              ,已支出      ,
20260212200040011100270044994049	,                    	,2026-02-12 08:24:27 ,2026-02-12 08:24:30 ,2026-02-12 08:24:30 ,支付宝网站     ,即时到账交易          ,张欢              ,转账                  ,17.00   ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2026021222001410681434339408	,17708558322802999110685	,2026-02-12 08:23:52 ,2026-02-12 08:23:59 ,2026-02-12 08:23:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,花生的小店           ,经营码交易               ,0.20    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026021022001410681425987344	,M20260210212714544  	,2026-02-10 11:55:00 ,2026-02-10 11:55:00 ,2026-02-10 11:55:00 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,铁路12306         ,火车票                 ,453.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026020923001110681420281028	,T200P3237419462303558564	,2026-02-09 00:02:59 ,2026-02-09 00:03:17 ,2026-02-19 17:00:15 ,淘宝        ,支付宝担保交易         ,林**             ,正版Galison冬灯拼图圣诞节日金箔进口四季拼图相框成人生日礼物,124.55  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026020822001110681419569511	,13200600726020843273085265562	,2026-02-08 20:17:48 ,2026-02-08 20:17:54 ,2026-02-08 21:33:48 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,67.20   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
